Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
2,62,ALGEBRA LINEAL,T,1257,"16,00 - 17,30",,"16,00 - 17,30",,"16,00 - 17,30",,A8118
2,63,CALCULO VECTORIAL,T,1257,,"15,45 - 18,00",,"15,45 - 18,00",,,A8118
2,1209,COMUNICACION,T,1257,,"18,00 - 20,00",,"18,00 - 20,00",,,A8118
2,1210,EMPRENDIMIENTO 1,T,1257,"19,00 - 20,20",,"19,00 - 20,20",,"19,00 - 20,20",,A8119
2,1203,PROGRAMACION ORIENTADA A OBJETOS,T,1257,,"19,50 - 21,50",,"19,50 - 21,50",,,A8117
2,1211,TALLER DE CREATIVIDAD E INNOVACION,T,1257,,"16,00 - 17,30",,"16,00 - 17,30",,,A8117
2,62,ALGEBRA LINEAL,T,1258,"19,00 - 20,30",,"19,00 - 20,30",,"19,00 - 20,30",,A8120
2,1209,COMUNICACION,T,1258,,"20,00 - 22,00",,"20,00 - 22,00",,,A8119
2,1210,EMPRENDIMIENTO 1,T,1258,"16,00 - 18,00",,"16,00 - 18,00",,,,A205
2,1211,TALLER DE CREATIVIDAD E INNOVACION,T,1258,"17,30 - 19,00",,"17,30 - 19,00",,,,A8120
3,1303,ECUACIONES DIFERENCIALES,M,1307,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A213
3,71,ELECTRICIDAD Y MAGNETISMO (L),M,1307,,"07,00 - 09,00",,"07,00 - 09,00",,,A211
3,1311,EMPRENDIMIENTO 2,M,1307,,"09,00 - 11,00",,"09,00 - 11,00",,,A213
3,190,ESTRUCTURA DE DATOS,M,1307,"08,40 - 10,00",,"08,40 - 10,00",,"08,40 - 10,00",,A213
3,480,METODOS NUMERICOS,M,1307,"11,30 - 13,00",,"11,30 - 13,00",,"11,30 - 13,00",,A211
3,1303,ECUACIONES DIFERENCIALES,M,1308,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A505
3,71,ELECTRICIDAD Y MAGNETISMO (L),M,1308,,"13,00 - 15,15",,"13,00 - 15,15",,,A211
3,1311,EMPRENDIMIENTO 2,M,1308,"08,00 - 10,00",,"08,00 - 10,00",,,,A506
3,190,ESTRUCTURA DE DATOS,M,1308,"10,00 - 11,30",,"10,00 - 11,30",,"10,00 - 11,30",,A507
3,480,METODOS NUMERICOS,M,1308,"13,00 - 15,15",,"13,00 - 15,15",,,,A504
3,1303,ECUACIONES DIFERENCIALES,M,1309,"10,00 - 11,30",,"10,00 - 11,30",,"10,00 - 11,30",,A212
3,71,ELECTRICIDAD Y MAGNETISMO (L),M,1309,"13,00 - 14,30",,"13,00 - 14,30",,"13,00 - 14,30",,A211
3,1311,EMPRENDIMIENTO 2,M,1309,"08,30 - 09,50",,"08,30 - 09,50",,"08,30 - 09,50",,A216
3,190,ESTRUCTURA DE DATOS,M,1309,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A507
3,480,METODOS NUMERICOS,M,1309,"11,30 - 13,00",,"11,30 - 13,00",,"11,30 - 13,00",,A212
3,1303,ECUACIONES DIFERENCIALES,M,1310,,"13,00 - 15,15",,"13,00 - 15,15",,,A507
3,71,ELECTRICIDAD Y MAGNETISMO (L),M,1310,,"10,45 - 13,00",,"10,45 - 13,00",,,A212
3,1311,EMPRENDIMIENTO 2,M,1310,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A213
3,190,ESTRUCTURA DE DATOS,M,1310,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A212
